Set_ID,Time,end_gen,ngen_expt,Ne,n_ind_exp,n_cages,sequence_length,r_msp,r,r_expt,mu_msp,mu,mu_neutral,shape,scale,mut_ratio,proj,LDdelta,pa,Vs,randomise,pdelta_method,bdelta_method,vA_true,vA_est,pdelta_est,pdelta_var_est,bdelta_intercept_est,bdelta_slope_est,seg_sites,bdelta_var_est,va_lost
vera.bio.ed.ac.uk_2024-06-17_16:23:15.048724_fixed_1.4_1000_10_3,47:13.6,2,3,1330000,1000,10,1.00E+06,1.40E-09,1.40E-07,1.40E-06,4.26E-11,4.26E-07,1.42E-11,0.3,0.025,1,BLoM,FALSE,1,LoNL,TRUE,optim,fixed,0.053743242,0.055095609,0.267406852,0.126772907,0,0,3112,0_0_0,0.000113462
vera.bio.ed.ac.uk_2024-06-17_16:23:15.048724_fixed_1.4_1000_10_3,13:27.3,2,3,1330000,1000,10,1.00E+06,1.40E-09,1.40E-07,1.40E-06,4.33E-11,4.33E-07,1.44E-11,0.3,0.025,1,BLoM,FALSE,1,LoNL,TRUE,optim,fixed,0.076242909,0.072754978,-0.269340713,0.052845058,0,0,3280,0_0_0,6.34E-05
vera.bio.ed.ac.uk_2024-06-17_16:23:15.048724_fixed_1.4_1000_10_3,39:43.7,2,3,1330000,1000,10,1.00E+06,1.40E-09,1.40E-07,1.40E-06,4.39E-11,4.39E-07,1.46E-11,0.3,0.025,1,BLoM,FALSE,1,LoNL,TRUE,optim,fixed,0.061637924,0.073996274,-0.212044154,0.055201553,0,0,3369,0_0_0,8.48E-05
vera.bio.ed.ac.uk_2024-06-17_16:23:15.048724_fixed_1.4_1000_10_3,05:31.8,2,3,1330000,1000,10,1.00E+06,1.40E-09,1.40E-07,1.40E-06,4.45E-11,4.45E-07,1.48E-11,0.3,0.025,1,BLoM,FALSE,1,LoNL,TRUE,optim,fixed,0.051477082,0.057251314,-0.324631392,0.086072527,0,0,3314,0_0_0,9.54E-05
vera.bio.ed.ac.uk_2024-06-17_16:23:15.048724_fixed_1.4_1000_10_3,24:16.5,2,3,1330000,1000,10,1.00E+06,1.40E-09,1.40E-07,1.40E-06,4.52E-11,4.52E-07,1.51E-11,0.3,0.025,1,BLoM,FALSE,1,LoNL,TRUE,optim,fixed,0.054635297,0.05335967,-0.019639865,0.07183077,0,0,3353,0_0_0,9.51E-05
vera.bio.ed.ac.uk_2024-06-17_16:23:15.048724_fixed_1.4_1000_10_3,51:21.8,2,3,1330000,1000,10,1.00E+06,1.40E-09,1.40E-07,1.40E-06,4.58E-11,4.58E-07,1.53E-11,0.3,0.025,1,BLoM,FALSE,1,LoNL,TRUE,optim,fixed,0.046224883,0.045634555,-0.439380957,0.038239775,0,0,3486,0_0_0,0.000116829
vera.bio.ed.ac.uk_2024-06-17_16:23:15.048724_fixed_1.4_1000_10_3,20:29.1,2,3,1330000,1000,10,1.00E+06,1.40E-09,1.40E-07,1.40E-06,4.65E-11,4.65E-07,1.55E-11,0.3,0.025,1,BLoM,FALSE,1,LoNL,TRUE,optim,fixed,0.058142094,0.079371809,-0.439622115,0.042896557,0,0,3595,0_0_0,8.38E-05
vera.bio.ed.ac.uk_2024-06-17_16:23:15.048724_fixed_1.4_1000_10_3,41:11.3,2,3,1330000,1000,10,1.00E+06,1.40E-09,1.40E-07,1.40E-06,4.71E-11,4.71E-07,1.57E-11,0.3,0.025,1,BLoM,FALSE,1,LoNL,TRUE,optim,fixed,0.061405541,0.065052062,0.279383454,0.135083951,0,0,3487,0_0_0,8.08E-05
vera.bio.ed.ac.uk_2024-06-17_16:23:15.048724_fixed_1.4_1000_10_3,09:55.3,2,3,1330000,1000,10,1.00E+06,1.40E-09,1.40E-07,1.40E-06,4.77E-11,4.77E-07,1.59E-11,0.3,0.025,1,BLoM,FALSE,1,LoNL,TRUE,optim,fixed,0.061663915,0.074627068,-0.560984619,0.024185502,0,0,3554,0_0_0,0.000120158
vera.bio.ed.ac.uk_2024-06-17_16:23:15.048724_fixed_1.4_1000_10_3,36:58.6,2,3,1330000,1000,10,1.00E+06,1.40E-09,1.40E-07,1.40E-06,4.84E-11,4.84E-07,1.61E-11,0.3,0.025,1,BLoM,FALSE,1,LoNL,TRUE,optim,fixed,0.070325344,0.078371694,-0.271874585,0.038783772,0,0,3663,0_0_0,8.79E-05
