"","Set_ID","Time","end_gen","ngen_expt","Ne","n_ind_exp","n_cages","sequence_length","r_msp","r","r_expt","mu_msp","mu","mu_neutral","shape","scale","mut_ratio","proj","LDdelta","pa","Vs","randomise","pdelta_method","bdelta_method","vA_true","vA_est","pdelta_est","pdelta_var_est","bdelta_intercept_est","bdelta_slope_est","seg_sites","bdelta_var_est","vA_left","seg_sites_neu","seg_sites_ben","seg_sites_del","s_pmq","map_length_history","map_length_expt"
"88","bigfoot_2024-07-10_01:53:22.615211_1.2e-06_0.14_0.014_1000_10","2024-07-10 02:24:57.70005","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-10",1.4e-07,1.4e-08,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,17134,NA,NA,614,0,16520,0.00449030217727395,"0.14","0.014"
"90","bigfoot_2024-07-10_02:45:52.595111_1.2e-06_0.014_1.4_1000_10","2024-07-10 03:11:51.092739","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-11",1.4e-08,1.4e-06,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,15398,NA,NA,659,0,14739,0.00416666615119055,"0.014","1.4"
"92","bigfoot_2024-07-10_02:53:52.593001_1.2e-06_0.14_0.14_1000_10","2024-07-10 03:26:03.552099","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-10",1.4e-07,1.4e-07,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,17323,NA,NA,691,0,16632,0.00440250071352869,"0.14","0.14"
"94","bigfoot_2024-07-10_03:41:07.600066_1.2e-06_0.014_0.14_1000_10","2024-07-10 04:07:03.350471","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-11",1.4e-08,1.4e-07,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,16189,NA,NA,602,0,15587,0.00455308591603263,"0.014","0.14"
"96","bigfoot_2024-07-10_04:07:22.597419_1.2e-06_1.4_0.14_1000_10","2024-07-10 05:11:50.179545","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-09",1.4e-06,1.4e-07,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,22559,NA,NA,913,0,21646,0.00486636070094564,"1.4","0.14"
"98","bigfoot_2024-07-10_04:41:37.587164_1.2e-06_0.014_1.4_1000_10","2024-07-10 05:08:06.92012","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-11",1.4e-08,1.4e-06,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,14790,NA,NA,572,0,14218,0.00415641499936822,"0.014","1.4"
"100","bigfoot_2024-07-10_04:49:22.585343_1.2e-06_1.4_0.014_1000_10","2024-07-10 05:53:43.293266","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-09",1.4e-06,1.4e-08,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,22717,NA,NA,909,0,21808,0.00467756719148037,"1.4","0.014"
"102","bigfoot_2024-07-10_05:58:07.627925_1.2e-06_1.4_0.014_1000_10","2024-07-10 07:02:03.263293","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-09",1.4e-06,1.4e-08,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,22594,NA,NA,892,0,21702,0.00489042930491646,"1.4","0.014"
"104","bigfoot_2024-07-10_06:29:52.614579_1.2e-06_0.014_0.014_1000_10","2024-07-10 06:57:33.117241","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-11",1.4e-08,1.4e-08,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,16490,NA,NA,721,0,15769,0.00446594158753736,"0.014","0.014"
"106","bigfoot_2024-07-10_07:11:07.595245_1.2e-06_14_0.014_1000_10","2024-07-10 10:44:39.120468","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-08",1.4e-05,1.4e-08,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,25977,NA,NA,1037,0,24940,0.00473783698562695,"14","0.014"
"108","bigfoot_2024-07-10_07:31:22.596907_1.2e-06_0.014_1.4_1000_10","2024-07-10 07:57:38.981201","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-11",1.4e-08,1.4e-06,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,14971,NA,NA,598,0,14373,0.00435521813449758,"0.014","1.4"
"110","bigfoot_2024-07-10_07:47:52.586325_1.2e-06_1.4_0.14_1000_10","2024-07-10 08:52:13.747408","20000","3","1330000","1000","10",1e+06,"2.63157894736842e-09",1.4e-06,1.4e-07,"2.25563909774436e-10",1.2e-06,"6.66666666666667e-09","0.3","0.033","0","BLoM","FALSE","1","LoNL","TRUE","no_analysis","estimate",NA,NA,NA,NA,NA,NA,22202,NA,NA,844,0,21358,0.0047625511735143,"1.4","0.14"
